high_shear_rep1	high_shear_rep2	high_shear_rep3	high_shear_rep4	low_shear_rep1	low_shear_rep2	low_shear_rep3	low_shear_rep4
ENSGALG00010001454	4.13668089783145	4.49298346741994	4.33821965033184	4.24198336883271	3.94275998682104	3.23891338384323	3.91645034595022	3.78920374500805
ENSGALG00010001456	3.00690589838734	3.06637393347646	2.52629312695738	3.08336044521565	3.39942793746955	2.31803986214014	2.13584619549138	2.65505883632028
ENSGALG00010001461	1.63846880622943	2.8260113199293	1.6218257559003	2.40664318895356	2.59394611234272	2.24245372081338	0.944570086148957	1.84369179653699
ENSGALG00010001466	2.3792773232991	3.19345312701438	3.26465357042958	3.44041652861854	3.35621995198305	2.98434223348713	2.94274450586122	3.37335472819361
ENSGALG00010001468	2.29403949177108	2.21678879106773	2.61138137131623	1.33662787337617	2.21302297978195	2.96095258262838	2.24010853301831	2.75495060317168
ENSGALG00010001475	3.50102407760438	3.38315452716715	3.76312769741301	3.60623477400296	3.50210437945425	3.59853185185154	3.85209567379268	3.70844540054619
ENSGALG00010001477	0.823880696421724	-0.902833209971187	-0.215843727273292	-1.28646388576436	-1.20624371979633	-0.909804571258982	-1.17652628674874	0.23985712228246
ENSGALG00010001479	3.6456659100462	3.68661893610187	3.8238149732252	3.60623477400296	3.5217910199682	4.10467305327873	3.3211156041316	3.89517049044539
ENSGALG00010001486	0.557458352128506	0.069087471479626	0.843459575056999	-1.28646388576436	-1.84826276498509	-1.30403507626092	-0.37371376382626	0.0431356875406291
ENSGALG00010001488	0.403192204937706	-1.29945025666058	-0.671815863180859	0.267023655877757	-0.151358096140551	-0.909804571258982	-1.84826276498509	-0.455413424743092
ENSGALG00010001492	0.0341366281333562	0.069087471479626	-1.34230598136404	0.0990860855528249	0.0787074138684723	0.224761031098311	0.139038437216578	-0.788922252084481
ENSGALG00010001501	9.98724123340884	9.83042457602442	9.34449918459847	9.63042739088475	9.43250208757327	9.91886776693581	9.60014890721795	9.45073023279998
ENSGALG00010001510	5.63017439947638	5.47990928262234	5.4017829577243	5.37618165792584	5.15439615304909	5.53046091583297	5.16392222693496	5.3225154257105
ENSGALG00010001513	4.8396564569661	4.54951618818591	4.72302752856024	4.75423479114753	4.79862777180279	5.08218161301846	4.78743657831756	4.91081166916211
ENSGALG00010001514	2.45975881215057	2.99837424159189	3.19284553997582	2.37020989204761	2.30678589939665	2.70348305837588	1.90156891643475	2.96420808507958
ENSGALG00010001516	-0.463038075147805	-1.84826276498509	-0.968455355914254	-1.84826276498509	-1.84826276498509	-1.84826276498508	-0.71998363049568	-1.84826276498508
ENSGALG00010001517	4.66394952287287	5.36310175976737	5.09212480940541	5.45222464051778	5.02931468981047	4.50312090961121	5.26005785238071	4.12412625511769
ENSGALG00010001526	9.12141906123927	9.12664021596958	8.68521157349208	8.63525716957433	9.06129634064595	9.55416538334957	9.19007099418954	9.36835651610851
ENSGALG00010001540	3.69637450008626	3.96122499818947	3.81188002710512	3.74074420630333	3.95729108961041	4.0166646683009	4.1077447758037	4.20876957780988
ENSGALG00010001545	2.33728782255532	2.53743656177489	2.46664521048551	2.37020989204761	1.29695195103405	3.2772942474717	2.33734110318446	3.14692287963599
ENSGALG00010001548	4.43426396201313	4.45120214338893	4.24365644170307	4.52487525156849	4.31411761937965	4.6854236139438	4.77880729035441	4.69303813138809
ENSGALG00010001551	4.42427025286663	4.25146668965518	4.30454581175385	4.00115922312826	3.73919137441836	4.1467425517	4.0515395563787	4.07343126484469
ENSGALG00010001552	3.53856661280244	3.51878166933298	3.26465357042958	3.38671224195961	3.48214537934206	3.83561177790779	3.3211156041316	3.28699825625016
ENSGALG00010001553	-1.84826276498509	-1.29945025666058	-0.968455355914254	-1.28646388576436	-1.84826276498509	-0.909804571258982	-1.84826276498509	-0.455413424743092
ENSGALG00010001559	2.74312610558261	2.04766341563121	1.77721232056302	1.893616630317	1.3855752125986	2.12108706092169	1.96380024658088	2.06742283057054
ENSGALG00010001570	3.36135261966791	2.68892720723462	3.13654219055942	3.4048367076773	3.14396799128989	3.00735872215808	3.22274496600401	2.65505883632028
ENSGALG00010001599	6.57057404729819	6.15461053942286	6.18207435105126	5.9731883596649	6.27012141853873	6.66105274237436	6.72353948143393	6.25915621310847
ENSGALG00010001605	1.41447214091993	0.385333520629478	1.6218257559003	1.67208272320006	1.20252627428408	0.950226099486932	0.815515104397939	0.567472835753092
ENSGALG00010001606	2.10678376532363	2.17632961730669	2.33939870734347	2.21451383332181	2.21302297978195	2.6163412798327	2.74428866314837	2.58440238076204
ENSGALG00010001611	2.33728782255532	2.74533330734233	2.9531105429376	2.29446118957585	2.00496218713207	2.07825143126794	2.0807461442871	2.06742283057054
ENSGALG00010001612	-0.193139121154759	-0.1195126600748	0.843459575056999	-0.310005494859499	1.82650776774774	0.950226099486932	1.7684236464976	1.25403434604808
